isqno,War,Battle Name,Location,Campaign,Attacker Win,Dry/Wet,High/Low Precipitaton/Sunny/Cloudy,"Temperature (Hot, Cold, Temperate)",Season,Tropical/Desert/Temperate,Attacker 1,Attacker 2,Attacker 3,Attacker 4,Actor 1,Actor 2,Actor 3,Actor 4
135.0,THE NAPOLEONIC WARS,LUETZEN,SAXONY,LEIPZIG 1813,-1.0,D,S,T,$,T,0.0,1.0,1.0,,France,Prussia,Russia,
136.0,THE NAPOLEONIC WARS,BAUTZEN,SAXONY,LEIPZIG 1813,1.0,W,L,T,$,T,1.0,0.0,0.0,,France,Prussia,Russia,
137.0,THE NAPOLEONIC WARS,DRESDEN,SAXONY,LEIPZIG 1813,-1.0,D,S,T,S,T,1.0,0.0,,,Austria,France,,
138.0,THE NAPOLEONIC WARS,LEIPZIG,SAXONY,LEIPZIG 1813,1.0,D,S,T,F,T,1.0,0.0,,,Austria,France,,
139.0,THE NAPOLEONIC WARS,HANAU,HESSE,LEIPZIG 1813,1.0,D,S,T,F,T,0.0,1.0,,,Bavaria,France,,
140.0,THE NAPOLEONIC WARS,LA ROTHIERE,FRANCE,DEFENSE OF FRANCE,1.0,W,H,T,W,T,0.0,1.0,,,France,Prussia,,
141.0,THE NAPOLEONIC WARS,LAON,FRANCE,DEFENSE OF FRANCE,-1.0,D,S,T,$,T,1.0,0.0,,,France,Prussia,,
142.0,THE NAPOLEONIC WARS,ARCIS-SUR-AUBE,FRANCE,DEFENSE OF FRANCE,1.0,D,S,T,$,T,1.0,0.0,,,Austria,France,,
143.0,THE NAPOLEONIC WARS,LIGNY,BELGIUM,THE HUNDRED DAYS,1.0,W,L,T,S,T,1.0,0.0,,,France,Prussia,,
144.0,THE NAPOLEONIC WARS,QUATRE BRAS,BELGIUM,THE HUNDRED DAYS,-1.0,W,L,T,S,T,1.0,0.0,,,France,Great Britain,,
145.0,THE NAPOLEONIC WARS,WATERLOO,BELGIUM,THE HUNDRED DAYS,-1.0,W,L,T,S,T,1.0,0.0,0.0,,France,Great Britain,Prussia,
146.0,WAR OF 1812,THE THAMES,CANADA,NORTHWESTERN,1.0,D,S,T,F,T,0.0,1.0,,,Great Britain,USA,,
147.0,WAR OF 1812,CHIPPEWA,CANADA,NORTHERN 1812,-1.0,D,S,T,S,T,1.0,0.0,,,Great Britain,USA,,
148.0,WAR OF 1812,LUNDY'S LANE,CANADA,NORTHERN 1812,-1.0,D,S,T,S,T,0.0,1.0,,,Great Britain,USA,,
149.0,WAR OF 1812,NEW ORLEANS,LOUISIANA,NEW ORLEANS,-1.0,D,S,T,W,T,1.0,0.0,,,Great Britain,USA,,
150.0,LATIN AMERICAN WARS OF INDEPENDENCE,BOYACA,COLUMBIA,BOYACA,1.0,D,S,T,W,T,1.0,0.0,,,Independentalists,Spain,,
151.0,LATIN AMERICAN WARS OF INDEPENDENCE,CARABOBO,VENEZUELA,CARABOBO,1.0,D,S,T,W,T,1.0,0.0,,,Independentalists,Spain,,
152.0,LATIN AMERICAN WARS OF INDEPENDENCE,BOMBONA,QUITO,BOMBONA,1.0,D,S,T,F,T,1.0,0.0,,,Independentalists,Spain,,
153.0,LATIN AMERICAN WARS OF INDEPENDENCE,PICHINCHA,QUITO,PICHINCHA,-1.0,D,S,T,F,T,0.0,1.0,,,Independentalists,Spain,,
154.0,LATIN AMERICAN WARS OF INDEPENDENCE,JUNIN,PERU,JUNIN,1.0,D,S,T,W,T,1.0,0.0,,,Independentalists,Spain,,
155.0,LATIN AMERICAN WARS OF INDEPENDENCE,AYACUCHO,PERU,AYACHUCHO,-1.0,D,S,T,S,T,0.0,1.0,,,Independentalists,Spain,,
156.0,WAR OF TEXAN INDEPENDENCE,SAN JACINTO,TEXAS,TEXAS 1836,1.0,D,S,T,$,T,0.0,1.0,,,Mexico,Texas,,
157.0,US-MEXICAN WAR,PALO ALTO,TEXAS,NORTHERN MEXICAN,1.0,D,S,H,$,T,0.0,1.0,,,Mexico,USA,,
158.0,US-MEXICAN WAR,RESACA DE LA PALMA,TEXAS,NORTHERN MEXICAN,1.0,D,S,H,$,T,0.0,1.0,,,Mexico,USA,,
159.0,US-MEXICAN WAR,BUENA VISTA,MEXICO,NORTHERN MEXICAN,-1.0,W,L,T,W,T,1.0,0.0,,,Mexico,USA,,
160.0,US-MEXICAN WAR,CERRO GORDO,MEXICO,CENTRAL MEXICAN,1.0,D,S,H,$,T,0.0,1.0,,,Mexico,USA,,
161.0,US-MEXICAN WAR,CONTRERAS,MEXICO,CENTRAL MEXICAN,1.0,D,S,H,S,T,0.0,1.0,,,Mexico,USA,,
162.0,US-MEXICAN WAR,CHURUBUSCO,MEXICO,CENTRAL MEXICAN,1.0,D,S,H,S,T,0.0,1.0,,,Mexico,USA,,
163.0,US-MEXICAN WAR,MOLINO DEL REY,MEXICO,CENTRAL MEXICAN,1.0,D,S,H,F,T,0.0,1.0,,,Mexico,USA,,
164.0,US-MEXICAN WAR,CHAPULTEPEC,MEXICO,CENTRAL MEXICAN,1.0,D,S,H,F,T,0.0,1.0,,,Mexico,USA,,
165.0,CRIMEAN WAR,THE ALMA,THE CRIMEA,SEBASTOPOL,1.0,D,S,T,F,T,1.0,1.0,0.0,,France,Great Britain,Russia,
166.0,CRIMEAN WAR,INKERMAN,THE CRIMEA,SEBASTOPOL,-1.0,W,H,C,F,T,0.0,0.0,1.0,,France,Great Britain,Russia,
167.0,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,MAGENTA,LOMBARDY,LOMBARDY 1859,1.0,D,S,H,S,T,0.0,1.0,,,Austria,France,,
168.0,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT,SOLFERINO,LOMBARDY,LOMBARDY 1859,1.0,D,S,H,S,T,0.0,1.0,,,Austria,France,,
169.0,AUSTRO-PRUSSIAN (SEVEN WEEK'S) WAR,SADOWA (KOENIGGRATZ),AUSTRIA,BOHEMIA 1866,1.0,W,H,T,S,T,0.0,1.0,,,Austria,Prussia,,
170.0,AUSTRO-ITALIAN WAR,CUSTOZZA II,VENETIA,VENETIA 1866,-1.0,D,S,T,S,T,0.0,1.0,,,Austria,Italy,,
171.0,AMERICAN CIVIL WAR,FIRST BULL RUN (MANASSAS),VIRGINIA,FIRST BULL RUN,-1.0,D,S,T,S,T,0.0,1.0,,,Confederacy,USA,,
172.0,AMERICAN CIVIL WAR,WILSON'S CREEK,MISSOURI,MISSOURI 1861,-1.0,D,S,T,S,T,0.0,1.0,,,Confederacy,USA,,
173.0,AMERICAN CIVIL WAR,BELMONT,MISSOURI,MISSOURI 1861,1.0,D,S,T,F,T,0.0,1.0,,,Confederacy,USA,,
174.0,AMERICAN CIVIL WAR,MILL SPRINGS,KENTUCKY,KENTUCKY 1862,-1.0,W,L,T,W,T,1.0,0.0,,,Confederacy,USA,,
175.0,AMERICAN CIVIL WAR,FORT DONELSON,TENNESSEE,HENRY AND DONELSON,-1.0,D,S,C,W,T,1.0,0.0,,,Confederacy,USA,,
176.0,AMERICAN CIVIL WAR,PEA RIDGE,MISSOURI,MISSOURI 1862,-1.0,D,S,T,$,T,1.0,0.0,,,Confederacy,USA,,
177.0,AMERICAN CIVIL WAR,KERNSTOWN,VIRGINIA,VALLEY 1862,-1.0,D,S,T,$,T,1.0,0.0,,,Confederacy,USA,,
178.0,AMERICAN CIVIL WAR,SHILOH,TENNESSEE,TENNESSEE 1862,-1.0,D,S,T,$,T,1.0,0.0,,,Confederacy,USA,,
179.0,AMERICAN CIVIL WAR,FRONT ROYAL,VIRGINIA,VALLEY 1862,1.0,D,S,T,$,T,1.0,0.0,,,Confederacy,USA,,
180.0,AMERICAN CIVIL WAR,FIRST WINCHESTER,VIRGINIA,VALLEY 1862,1.0,D,S,T,$,T,1.0,0.0,,,Confederacy,USA,,
181.0,AMERICAN CIVIL WAR,CROSS KEYS,VIRGINIA,VALLEY 1862,-1.0,D,S,T,S,T,0.0,1.0,,,Confederacy,USA,,
182.0,AMERICAN CIVIL WAR,PORT REPUBLIC,VIRGINIA,VALLEY 1862,1.0,D,S,T,S,T,1.0,0.0,,,Confederacy,USA,,
183.0,AMERICAN CIVIL WAR,SEVEN PINES (FAIR OAKS),VIRGINIA,PENINSULAR 1862,-1.0,D,S,T,$,T,1.0,0.0,,,Confederacy,USA,,
184.0,AMERICAN CIVIL WAR,MECHANICSVILLE,VIRGINIA,PENINSULAR 1862,-1.0,D,S,T,S,T,1.0,0.0,,,Confederacy,USA,,
185.0,AMERICAN CIVIL WAR,GAINES'S MILL,VIRGINIA,PENINSULAR 1862,-1.0,D,S,T,S,T,1.0,0.0,,,Confederacy,USA,,
186.0,AMERICAN CIVIL WAR,GLENDALE-FRAYSER'S FARM,VIRGINIA,PENINSULAR 1862,-1.0,D,S,T,S,T,1.0,0.0,,,Confederacy,USA,,
187.0,AMERICAN CIVIL WAR,MALVERN HILL,VIRGINIA,PENINSULAR 1862,-1.0,D,S,T,S,T,1.0,0.0,,,Confederacy,USA,,
188.0,AMERICAN CIVIL WAR,CEDAR MOUNTAIN,VIRGINIA,SECOND BULL RUN,-1.0,D,S,T,S,T,0.0,1.0,,,Confederacy,USA,,
189.0,AMERICAN CIVIL WAR,SECOND BULL RUN (MANASSAS),VIRGINIA,SECOND BULL RUN,-1.0,D,S,T,S,T,0.0,1.0,,,Confederacy,USA,,
190.0,AMERICAN CIVIL WAR,SOUTH MOUNTAIN,MARYLAND,ANTIETAM,1.0,D,S,T,F,T,0.0,1.0,,,Confederacy,USA,,
191.0,AMERICAN CIVIL WAR,ANTIETAM (SHARPSBURG),MARYLAND,ANTIETAM,-1.0,D,S,T,F,T,0.0,1.0,,,Confederacy,USA,,
192.0,AMERICAN CIVIL WAR,CORINTH,MISSISSIPPI,IUKA-CORINTH,-1.0,D,S,T,F,T,0.0,1.0,,,Confederacy,USA,,
193.0,AMERICAN CIVIL WAR,PERRYVILLE,KENTUCKY,PERRYVILLE,0.0,D,S,T,F,T,0.0,1.0,,,Confederacy,USA,,
194.0,AMERICAN CIVIL WAR,FREDERICKSBURG,VIRGINIA,FREDRICKSBURG,-1.0,D,S,T,W,T,0.0,1.0,,,Confederacy,USA,,
195.0,AMERICAN CIVIL WAR,MURFREESBORO (STONE'S RIVER),TENNESSEE,STONES RIVER,0.0,W,L,C,W,T,1.0,0.0,,,Confederacy,USA,,
196.0,AMERICAN CIVIL WAR,CHANCELLORSVILLE,VIRGINIA,CHANCELLORSVILLE,-1.0,D,S,T,$,T,0.0,1.0,,,Confederacy,USA,,
197.0,AMERICAN CIVIL WAR,CHAMPION'S HILL,MISSISSIPPI,VICKSBURG,1.0,D,S,T,$,T,0.0,1.0,,,Confederacy,USA,,
198.0,AMERICAN CIVIL WAR,BRANDY STATION,VIRGINIA,GETTYSBURG,1.0,D,S,T,S,T,0.0,1.0,,,Confederacy,USA,,
199.0,AMERICAN CIVIL WAR,GETTYSBURG,PENNSYLVANIA,GETTYSBURG,-1.0,D,S,T,S,T,1.0,0.0,,,Confederacy,USA,,
200.0,AMERICAN CIVIL WAR,CHICKAMAUGA,GEORGIA,CHICKAMAUGA,1.0,D,S,T,F,T,1.0,0.0,,,Confederacy,USA,,
201.0,AMERICAN CIVIL WAR,CHATTANOOGA,TENNESSEE,CHATTANOOGA,1.0,W,L,T,F,T,0.0,1.0,,,Confederacy,USA,,
202.0,AMERICAN CIVIL WAR,THE WILDERNESS,VIRGINIA,WILDERNESS-SPOTSYLVANIA-COLD HARBOR,-1.0,D,S,T,$,T,0.0,1.0,,,Confederacy,USA,,
203.0,AMERICAN CIVIL WAR,SPOTSYLVANIA,VIRGINIA,WILDERNESS-SPOTSYLVANIA-COLD HARBOR,-1.0,D,S,T,$,T,0.0,1.0,,,Confederacy,USA,,
204.0,AMERICAN CIVIL WAR,NEW MARKET,VIRGINIA,SHENANDOAH VALLEY 1864,1.0,W,L,T,S,T,1.0,0.0,,,Confederacy,USA,,
205.0,AMERICAN CIVIL WAR,COLD HARBOR,VIRGINIA,WILDERNESS-SPOTSYLVANIA-COLD HARBOR,-1.0,D,S,T,S,T,0.0,1.0,,,Confederacy,USA,,
206.0,AMERICAN CIVIL WAR,KENESAW MOUNTAIN,GEORGIA,ATLANTA,-1.0,D,S,H,S,T,0.0,1.0,,,Confederacy,USA,,
207.0,AMERICAN CIVIL WAR,PEACHTREE CREEK,GEORGIA,ATLANTA,-1.0,D,S,T,S,T,1.0,0.0,,,Confederacy,USA,,
208.0,AMERICAN CIVIL WAR,ATLANTA,GEORGIA,ATLANTA,-1.0,D,S,T,S,T,1.0,0.0,,,Confederacy,USA,,
209.0,AMERICAN CIVIL WAR,PETERSBURG,VIRGINIA,PETERSBURG,-1.0,D,S,T,S,T,0.0,1.0,,,Confederacy,USA,,
210.0,AMERICAN CIVIL WAR,GLOBE TAVERN,VIRGINIA,SIEGE OF PETERSBURG,1.0,W,H,T,S,T,0.0,1.0,,,Confederacy,USA,,
211.0,AMERICAN CIVIL WAR,OPEQUON CREEK (THIRD WINCHESTER),VIRGINIA,SHERIDAN'S VALLEY,1.0,D,S,T,S,T,0.0,1.0,,,Confederacy,USA,,
212.0,AMERICAN CIVIL WAR,CEDAR CREEK,VIRGINIA,SHERIDAN'S VALLEY,-1.0,D,S,T,F,T,1.0,0.0,,,Confederacy,USA,,
213.0,AMERICAN CIVIL WAR,FRANKLIN,TENNESSEE,FRANKLIN AND NASHVILLE,-1.0,D,S,T,F,T,1.0,0.0,,,Confederacy,USA,,
214.0,AMERICAN CIVIL WAR,NASHVILLE,TENNESSEE,FRANKLIN AND NASHVILLE,1.0,D,S,T,W,T,0.0,1.0,,,Confederacy,USA,,
215.0,AMERICAN CIVIL WAR,BENTONVILLE,NORTH CAROLINA,THE CAROLINAS,-1.0,D,S,T,$,T,1.0,0.0,,,Confederacy,USA,,
216.0,AMERICAN CIVIL WAR,DINWIDDIE COURTHOUSE & WHITE OAK ROAD,VIRGINIA,PETERSBURG,0.0,W,H,T,$,T,0.0,1.0,,,Confederacy,USA,,
217.0,AMERICAN CIVIL WAR,FIVE FORKS,VIRGINIA,PETERSBURG,1.0,D,S,T,$,T,0.0,1.0,,,Confederacy,USA,,
218.0,AMERICAN CIVIL WAR,SELMA,ALABAMA,SELMA,1.0,D,S,T,$,T,0.0,1.0,,,Confederacy,USA,,
219.0,AMERICAN CIVIL WAR,SAYLOR'S CREEK,VIRGINIA,APPOMATTOX,1.0,W,L,T,$,T,0.0,1.0,,,Confederacy,USA,,
220.0,FRANCO-PRUSSIAN WAR,WEISSENBURG,FRANCE,METZ,1.0,W,L,T,S,T,0.0,1.0,,,France,Germany,,
221.0,FRANCO-PRUSSIAN WAR,FROESCHWILLER,FRANCE,METZ,1.0,W,L,T,S,T,0.0,1.0,,,France,Germany,,
222.0,FRANCO-PRUSSIAN WAR,SPICHERN,FRANCE,METZ,1.0,W,L,T,S,T,0.0,1.0,,,France,Germany,,
223.0,FRANCO-PRUSSIAN WAR,MARS LA TOUR,FRANCE,METZ,1.0,D,S,T,S,T,0.0,1.0,,,France,Germany,,
224.0,FRANCO-PRUSSIAN WAR,GRAVELOTTE-ST. PRIVAT,FRANCE,METZ,1.0,D,S,T,S,T,0.0,1.0,,,France,Germany,,
225.0,FRANCO-PRUSSIAN WAR,SEDAN,FRANCE,SEDAN,1.0,D,S,T,F,T,0.0,1.0,,,France,Germany,,
226.0,FRANCO-PRUSSIAN WAR,COULMIERS,FRANCE,ORLEANS,1.0,W,L,C,F,T,1.0,0.0,,,France,Germany,,
227.0,FRANCO-PRUSSIAN WAR,ORLEANS,FRANCE,ORLEANS,1.0,W,H,C,W,T,0.0,1.0,,,France,Germany,,
228.0,FRANCO-PRUSSIAN WAR,LE MANS,FRANCE,LOIRE,1.0,W,H,C,W,T,0.0,1.0,,,France,Germany,,
229.0,FRANCO-PRUSSIAN WAR,BELFORT,FRANCE,BELFORT,-1.0,W,H,C,W,T,1.0,0.0,,,France,Germany,,
230.0,ZULU WAR,ISANDHLWANA,ZULULAND,ZULULAND 1879,1.0,D,S,H,S,T,0.0,1.0,,,Great Britain,Zulu,,
231.0,ZULU WAR,ULUNDI,ZULULAND,ZULULAND 1879,-1.0,D,S,T,W,T,0.0,1.0,,,Great Britain,Zulu,,
232.0,TRANSVAAL REVOLT,MAJUBA HILL,TRANSVAAL,SOUTH AFRICA 1881,1.0,D,S,H,S,T,0.0,1.0,,,Great Britain,South African Republic,,
233.0,EGYPT AND THE SUDAN,TEL EL-KEBIR,EGYPT,EGYPT 1882,1.0,D,S,T,F,E,0.0,1.0,,,Egypt,Great Britain,,
234.0,EGYPT AND THE SUDAN,OMDURMAN,THE SUDAN,THE SUDAN 1898,-1.0,D,S,T,F,T,0.0,1.0,,,Great Britain,Mahdists,,
235.0,ITALO-ETHIOPIAN WAR,ADOWA,ETHIOPIA,ETHIOPIA 1896,1.0,D,S,T,W,E,1.0,0.0,,,Ethiopia,Italy,,
236.0,BOER WAR,MODDER RIVER,SOUTH AFRICA,KIMBERLY,1.0,D,S,H,$,T,1.0,0.0,,,Great Britain,South African Republic,,
237.0,BOER WAR,MAGERSFONTEIN,SOUTH AFRICA,KIMBERLY,-1.0,W,H,T,$,T,1.0,0.0,,,Great Britain,South African Republic,,
238.0,BOER WAR,COLENSO,SOUTH AFRICA,LADYSMITH,-1.0,D,S,H,$,T,1.0,0.0,,,Great Britain,South African Republic,,
239.0,BOER WAR,SPION KOP,SOUTH AFRICA,LADYSMITH,-1.0,D,S,H,S,T,1.0,0.0,,,Great Britain,South African Republic,,
240.0,BOER WAR,PAARDEBURG,SOUTH AFRICA,LADYSMITH,0.0,D,S,H,S,T,1.0,0.0,,,Great Britain,South African Republic,,
241.0,SPANISH-AMERICAN WAR,SAN JUAN HILL AND EL CANEY,CUBA,SANTIAGO,1.0,D,S,H,S,T,0.0,1.0,,,Spain,USA,,
242.0,RUSSO-JAPANESE WAR,THE YALU,KOREA,YALU 1904,1.0,D,S,T,$,T,1.0,0.0,,,Japan,Russia,,
243.0,RUSSO-JAPANESE WAR,TELISSU,MANCHURIA,MANCHURIAN 1904,1.0,D,S,T,S,T,1.0,0.0,,,Japan,Russia,,
244.0,RUSSO-JAPANESE WAR,LIAOYANG,MANCHURIA,MANCHURIAN 1904,1.0,D,S,T,S,T,1.0,0.0,,,Japan,Russia,,
245.0,RUSSO-JAPANESE WAR,THE SHA-HO,MANCHURIA,MANCHURIAN 1904,-1.0,D,S,T,F,T,0.0,1.0,,,Japan,Russia,,
246.0,RUSSO-JAPANESE WAR,SANDEPU,MANCHURIA,MANCHURIAN 1905,-1.0,W,L,C,W,T,0.0,1.0,,,Japan,Russia,,
247.0,RUSSO-JAPANESE WAR,MUKDEN,MANCHURIA,MANCHURIAN 1905,1.0,D,S,T,W,T,1.0,0.0,,,Japan,Russia,,
248.0,THE BALKAN WARS,KUMANOVO,EUROPEAN TURKEY,MACEDONIA 1912,1.0,W,H,T,F,T,0.0,1.0,,,Ottoman Empire,Serbia,,
249.0,THE BALKAN WARS,LULE BURGAS,EUROPEAN TURKEY,THRACE 1912,1.0,D,S,T,F,T,1.0,0.0,,,Bulgaria,Ottoman Empire,,
250.0,THE BALKAN WARS,PRELIP,EUROPEAN TURKEY,MACEDONIA 1912,1.0,W,H,T,F,T,0.0,1.0,,,Ottoman Empire,Serbia,,
251.0,THE BALKAN WARS,MONASTIR,EUROPEAN TURKEY,MACEDONIA 1912,1.0,W,H,T,F,T,0.0,1.0,,,Ottoman Empire,Serbia,,
252.0,THE BALKAN WARS,ADRIANOPLE,EUROPEAN TURKEY,THRACE 1913,1.0,W,H,T,$,T,1.0,0.0,,,Bulgaria,Ottoman Empire,,
253.0,RUSSO-POLISH WAR (1920),WARSAW,POLAND,POLISH COUNTEROFFENSIVE,1.0,D,S,T,S,T,1.0,0.0,,,Poland,USSR,,
254.0,RUSSO-POLISH WAR (1920),THE NIEMAN,USSR,POLISH OFFENSIVE SEP-OCT 1920,1.0,D,S,T,F,T,1.0,0.0,,,Poland,USSR,,
255.0,THE SPANISH CIVIL WAR,GUADALAJARA-BRIHUEGA,SPAIN,MADRID 1937,-1.0,W,L,C,$,T,1.0,0.0,,,Italy,Spanish Republic,,
256.0,THE MANCHURIAN INCIDENT (1938-1939),CHANGKUFENG-SHACHAOFENG,MANCHURIA,CHANGKUFENG,1.0,D,,T,S,T,1.0,0.0,,,Japan,USSR,,
257.0,THE MANCHURIAN INCIDENT (1938-1939),HILL 52-SHACHAOFENG,MANCHURIA,CHANGKUFENG,-1.0,D,S,H,S,T,0.0,1.0,,,Japan,USSR,,
258.0,THE MANCHURIAN INCIDENT (1938-1939),CHANGKUFENG-HILL 52,MANCHURIA,CHANGKUFENG,-1.0,D,S,T,S,T,0.0,1.0,,,Japan,USSR,,
259.0,THE MANCHURIAN INCIDENT (1938-1939),NOMONHAN-OPENING ENGAGEMENT,MANCHURIA,NOMONHAN,0.0,D,S,T,$,T,1.0,0.0,,,Japan,USSR,,
260.0,THE MANCHURIAN INCIDENT (1938-1939),NOMONHAN-SOVIET COUNTEROFFENSIVE,MANCHURIA,NOMONHAN,1.0,D,S,H,S,T,0.0,1.0,,,Japan,USSR,,
261.0,RUSSO-FINISH WAR (1939-1940),SUOMUSSALMI,FINLAND,FINLAND 1939-40,1.0,W,H,C,W,T,1.0,0.0,,,Finland,USSR,,
262.0,WORLD WAR I (WESTERN FRONT 1914),ALSACE-LORRAINE I,GERMANY,THE FRONTIERS,-1.0,D,S,T,S,T,1.0,0.0,,,France,Germany,,
263.0,WORLD WAR I (WESTERN FRONT 1914),ALSACE-LORRAINE II,GERMANY AND FRANCE,THE FRONTIERS,1.0,D,S,T,S,T,0.0,1.0,,,France,Germany,,
264.0,WORLD WAR I (WESTERN FRONT 1914),THE ARDENNES,FRANCE,THE FRONTIERS,-1.0,W,,T,S,T,1.0,0.0,,,France,Germany,,
265.0,WORLD WAR I (WESTERN FRONT 1914),THE SAMBRE,BELGIUM,THE FRONTIERS,1.0,D,S,T,S,T,0.0,1.0,,,France,Germany,,
266.0,WORLD WAR I (WESTERN FRONT 1914),MONS,BELGIUM,THE FRONTIERS,1.0,D,S,T,S,T,1.0,0.0,,,Germany,Great Britain,,
267.0,WORLD WAR I (WESTERN FRONT 1914),LE CATEAU,FRANCE,ADVANCE TO THE MARNE,1.0,D,S,T,S,T,1.0,0.0,,,Germany,Great Britain,,
268.0,WORLD WAR I (WESTERN FRONT 1914),GUISE,FRANCE,ADVANCE TO THE MARNE,0.0,D,S,T,S,T,0.0,1.0,,,France,Germany,,
269.0,WORLD WAR I (WESTERN FRONT 1914),HEIGHTS OF NANCY,FRANCE,THE MARNE 1914,-1.0,D,S,T,F,T,0.0,1.0,,,France,Germany,,
270.0,WORLD WAR I (WESTERN FRONT 1914),OURCQ I,FRANCE,THE MARNE 1914,0.0,D,S,T,F,T,1.0,0.0,,,France,Germany,,
